T4a,,T5a,,T4b,,T5b,
X,Y,X,Y,X,Y,X,Y
82.6277512188466,0.39243026006644965,102.61586967561489,0.3222431581987215,85.08960856686149,0.1997310931932168,83.45883741344294,0.6861181103247187
82.16667522926029,0.4766355742590229,103.86635795223698,0.33212311182991483,86.13157779805009,0.19248164027638137,83.74484013297236,0.7166181778919744
82.88655339541752,0.3578641659723991,105.18163358588582,0.34265714790042734,87.43720104696676,0.1574955102028437,84.0715304399376,0.7479744993232453
83.15174551323106,0.3288758598711444,105.9984444384822,0.37184964145837274,88.71645071959269,0.1439708778358999,84.83886383390673,0.7773981791742178
83.41726891413997,0.29961797215106334,106.57219437854341,0.4120211728222697,90.00097080509887,0.12615744698762232,85.60251869480432,0.8098152653121624
83.68295795659652,0.27022529362156855,106.98684431874516,0.4441175901206489,91.27600414742055,0.11606385340574588,86.36605524031067,0.8423286305996878
84.03697535434607,0.23900983338597492,107.51449759244535,0.47697914243580697,92.54968224071588,0.10707309371906981,87.12221800659076,0.8736573402799622
83.91593279338902,0.22075085500883018,108.04537875271545,0.512004047689821,93.82336033401124,0.0980823340323933,87.79115502601185,0.904115316939957
84.6497248495502,0.18406290861624774,108.57581820219177,0.5473883951022706,95.09673726085627,0.08933664854465051,88.63564726887456,0.9294994843815242
85.56089534018362,0.13647024672154018,109.10636807936653,0.5826828819751112,96.36469319159583,0.08500229863770836,89.11254295273973,0.9541972379652253
86.55788624780324,0.1093074166114325,109.64931740953806,0.6167831130085106,97.63189620620967,0.08128063422809939,89.6739837606017,0.8867449244253516
87.53418605541562,0.07857395957758118,110.06460443261544,0.6483611041168387,98.89924980404867,0.07743643271902378,89.47983237949605,0.9238574003609821
88.48780515052327,0.049813540011826696,110.60575536884083,0.6791347325887528,100.1667539851128,0.07346969411048176,90.0931478166547,0.8450984678545682
89.4406995638599,0.021642830237255772,111.02215273635862,0.7098091809087056,101.44555190806328,0.0603126730419381,90.4793410850384,0.8110513653616211
90.7069802562197,0.01867170556188058,111.55184467526082,0.7410117694156995,102.72916849421857,0.04323446479046056,90.8377768455859,0.7783633235329205
91.94677712385602,0.03725179325520833,112.0838301125154,0.7751380692736243,104.01278508037386,0.026156256538983014,91.24525273617972,0.7446335643276122
93.18401407666481,0.057915011639470215,112.6159259774684,0.8091745085919403,105.29098067042376,0.013489383868306337,91.60948575784012,0.7108205354946265
94.43013543975748,0.07134854115519751,113.1478009870245,0.8433906689894741,106.5596895172891,0.00854234846403057,92.01706589835906,0.6770059429127644
95.30975229115496,0.1028074474086027,113.68011770737441,0.8772473872285723,107.822977368049,0.00800664864055567,92.38149583654466,0.6430326732573993
96.73089653684075,0.06722199609896373,114.21287613851804,0.9107446633092349,109.08671696848434,0.007103337518680641,92.78913389368866,0.609170951021896
98.0032193811097,0.05933407030748761,114.76668287775443,0.9426815269935704,110.34985423601908,0.006690174794672155,93.18145165211679,0.5737325789815922
99.27524105892836,0.05169121871494475,115.30495874997392,0.9650171361212909,111.70779067100365,0.016313020117522115,93.53988741266433,0.5410445371528915
100.54771448642252,0.043680755824002215,115.1485576343597,1.0055545033450919,112.76251293516883,0.03932554221494344,93.94736330325817,0.5073147779475832
101.76598655761798,0.05308924951116434,115.85495107270465,0.9189849036531561,113.7842786339318,0.060806962478496596,94.31174690814369,0.4733792120151309
102.71225235116314,0.0686757124373949,116.18625460433186,0.88168831599843,114.57717711568522,0.10278629853242727,94.71892163228723,0.439894527008756
103.83700928165503,0.07578792286168268,116.60774924160033,0.8456021216854407,115.6628166653215,0.12471706197034282,95.2080815091975,0.4097161819499513
105.08418472732377,0.08836369268114286,116.99270019837654,0.8125659502630938,116.66861905950206,0.15974168252794674,95.74281028598911,0.37756033619575446
106.3431056645543,0.09138156874220194,117.37751312052968,0.7796421045152581,117.46830835172896,0.19202509076062624,96.25377107822912,0.34650929984525936
107.61286859399569,0.0855767736416595,117.76163586956754,0.747279887139978,118.23539435897108,0.22165008156072274,96.74785220799275,0.3180743400391771
108.8823303569868,0.08001705274005033,118.14575861860543,0.714917669764698,119.00295362777793,0.2508899557624953,97.24165726851025,0.28986403158211727
110.09450273196917,0.07437362638816025,118.52988136764331,0.6825554523894178,119.77003963502001,0.2805149465625917,97.73573839827385,0.2614290717760349
111.07568043956981,0.06989033084864071,118.91400411668117,0.6501932350141377,120.37824226974068,0.30866303591330957,98.22981952803748,0.23299411196995268
111.95379145871577,0.10257460809671248,119.29812686571906,0.6178310176388576,,,98.72390065780105,0.20455915216387055
113.20909839854265,0.10853337454497214,119.68224961475694,0.5854688002635776,,,99.21784375294162,0.17623651803229934
114.44949759907963,0.12662331384043335,119.97429222744718,0.5533120819333708,,,99.71178684808218,0.14791388390072835
115.17771054674894,0.14117831192547348,120.16393523537018,0.5204177410862131,,,100.25101713112393,0.11832199676112531
116.96312314323644,0.1360901047476184,120.36841972596407,0.49412732169257145,,,100.90088334769833,0.11123197652290462
118.21843008306332,0.14204887119587806,,,,,101.95279150198466,0.11457590291222175
119.48066385124717,0.14237093106866983,,,,,103.21336885469184,0.11624587087914717
120.51377018404115,0.14233366172044493,,,,,104.47304270804814,0.11865106144287285
,,,,,,105.73602939235774,0.11836043581833122
,,,,,,107.0071475708255,0.11145280682258862
,,,,,,108.27992216476993,0.10319726973271237
,,,,,,109.55269675871433,0.09494173264283612
,,,,,,110.82471843653302,0.08729888105029349
,,,,,,112.09222261759716,0.08333214244175147
,,,,,,113.35776921673433,0.08095838612627615
,,,,,,114.62316523264634,0.07870716691026747
,,,,,,115.88856124855839,0.07645594769425901
,,,,,,117.15877592767522,0.07028354129531666
,,,,,,118.43124935516936,0.06227307840437346
,,,,,,119.70327103298801,0.05463022681183083
,,,,,,120.6865619251816,0.048427327309795265
